Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
12.354,1.48E-05,128.6346,18.4418322,0.05,20
12.404,1.48E-05,132.609,20.430693,0.05,20
12.454,0.000192606,135.5898,18.4418322,0.05,20
12.504,0.000192606,138.5706,18.4418322,0.05,20
12.554,-0.000162966,142.545,20.430693,0.05,20
12.604,1.48E-05,145.5258,20.430693,0.05,20
12.654,-0.000162966,147.513,20.430693,0.05,20
12.704,1.48E-05,150.4938,20.430693,0.05,20
12.754,1.48E-05,152.481,20.430693,0.05,20
12.804,0.000192606,153.4746,20.430693,0.05,20
12.854,-0.000162966,156.4554,20.430693,0.05,20
12.904,1.48E-05,157.449,18.4418322,0.05,20
12.954,-0.000162966,159.4362,20.430693,0.05,20
13.004,-0.000162966,160.4298,22.4195538,0.05,20
13.054,0.000192606,161.4234,18.4418322,0.05,20
13.104,1.48E-05,162.417,18.4418322,0.05,20
13.154,0.000192606,165.3978,18.4418322,0.05,20
13.204,0.000192606,165.3978,18.4418322,0.05,20
13.254,1.48E-05,167.385,20.430693,0.05,20
13.304,1.48E-05,168.3786,18.4418322,0.05,20
13.354,-0.000162966,170.3658,20.430693,0.05,20
13.404,-0.000162966,171.3594,20.430693,0.05,20
13.454,1.48E-05,173.3466,20.430693,0.05,20
13.504,-0.000162966,173.3466,20.430693,0.05,20
13.554,1.48E-05,174.3402,18.4418322,0.05,20
13.604,-0.000162966,175.3338,20.430693,0.05,20
13.654,0.000192606,174.3402,18.4418322,0.05,20
13.704,0.000192606,175.3338,18.4418322,0.05,20
13.754,1.48E-05,176.3274,20.430693,0.051,19.60784314
13.805,-0.000162966,177.321,18.4418322,0.049,20.40816327
13.854,0.000192606,177.321,18.4418322,0.05,20
13.904,1.48E-05,178.3146,18.4418322,0.05,20
13.954,1.48E-05,178.3146,20.430693,0.05,20
14.004,-0.000162966,180.3018,18.4418322,0.05,20
14.054,1.48E-05,180.3018,18.4418322,0.051,19.60784314
14.105,1.48E-05,180.3018,20.430693,0.05,20
14.155,0.000192606,181.2954,20.430693,0.05,20
14.205,-0.000162966,181.2954,18.4418322,0.05,20
14.255,1.48E-05,182.289,18.4418322,0.05,20
14.305,1.48E-05,182.289,18.4418322,0.05,20
14.355,-0.000162966,183.2826,20.430693,0.05,20
14.405,-0.000162966,183.2826,20.430693,0.05,20
14.455,1.48E-05,183.2826,18.4418322,0.05,20
14.505,1.48E-05,183.2826,18.4418322,0.05,20
14.555,-0.000162966,185.2698,20.430693,0.05,20
14.605,1.48E-05,184.2762,20.430693,,
