Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
7.8293223,-0.000162966,917.553,18.4418322,0.0236989,42.19605127
7.8530212,-0.000162966,907.617,20.430693,0.0321142,31.13887314
7.8851354,1.48E-05,884.7642,20.430693,0.0341583,29.27546163
7.9192937,-0.000162966,917.553,20.430693,0.0450058,22.21935838
7.9642995,-0.000340752,911.5914,20.430693,0.0206934,48.32458658
7.9849929,-0.000162966,884.7642,20.430693,0.0314562,31.79023531
8.0164491,1.48E-05,913.5786,22.4195538,0.0380499,26.28127802
8.054499,-0.000162966,914.5722,20.430693,0.0453636,22.04410584
8.0998626,1.48E-05,883.7706,20.430693,0.0019818,504.5917815
8.1018444,-0.000162966,908.6106,20.430693,0.0427333,23.40095428
8.1445777,-0.000340752,919.5402,22.4195538,0.0448603,22.29142473
8.189438,-0.000518538,882.777,20.430693,0.0451668,22.14015603
8.2346048,-0.000340752,908.6106,20.430693,0.0216665,46.15420127
8.2562713,-0.000340752,921.5274,20.430693,0.0309764,32.28264097
8.2872477,1.48E-05,882.777,18.4418322,0.0369601,27.05620385
8.3242078,-0.000162966,901.6554,22.4195538,0.0450331,22.20588856
8.3692409,1.48E-05,922.521,18.4418322,0.0231156,43.2608282
8.3923565,-0.000162966,885.7578,18.4418322,0.0313506,31.89731615
8.4237071,1.48E-05,900.6618,20.430693,0.035583,28.10330777
8.4592901,-0.000340752,922.521,18.4418322,0.0453567,22.04745935
8.5046468,-0.000340752,889.7322,20.430693,0.0019057,524.74156
8.5065525,-0.000162966,895.6938,18.4418322,0.0429077,23.30584021
8.5494602,-0.000162966,923.5146,22.4195538,0.0447118,22.36546057
8.594172,1.48E-05,893.7066,18.4418322,0.045108,22.16901659
8.63928,-0.000162966,890.7258,18.4418322,0.0233345,42.85500016
8.6626145,-0.000340752,918.5466,18.4418322,0.033326,30.00660142
8.6959405,-0.000340752,900.6618,20.430693,0.0332425,30.0819734
8.729183,-0.000340752,886.7514,24.4084146,0.045053,22.19608018
8.774236,1.48E-05,920.5338,16.4529714,0.0232931,42.93116845
8.7975291,-0.000162966,902.649,18.4418322,0.0314597,31.78669851
8.8289888,1.48E-05,885.7578,18.4418322,0.0352937,28.33366862
8.8642825,-0.000162966,919.5402,20.430693,0.0452366,22.10599383
8.9095191,-0.000340752,909.6042,18.4418322,0.0242206,41.28716873
8.9337397,-0.000162966,883.7706,22.4195538,0.0313072,31.94153425
8.9650469,-0.000340752,916.5594,18.4418322,0.0339905,29.41998497
8.9990374,-0.000518538,915.5658,20.430693,0.0456921,21.88562139
9.0447295,-0.000162966,881.7834,20.430693,0.00219,456.6209987
9.0469195,1.48E-05,909.6042,22.4195538,0.0424588,23.55224358
9.0893783,-0.000162966,919.5402,20.430693,0.0450861,22.1797849
9.1344644,-0.000340752,881.7834,20.430693,0.0453577,22.0469733
9.1798221,-0.000340752,909.6042,20.430693,0.001956,511.2474456
9.1817781,-0.000340752,919.5402,20.430693,0.0423708,23.60115926
9.2241489,0.000370392,882.777,20.430693,0.0453479,22.05173781
9.2694968,-0.000340752,907.617,18.4418322,0.0179249,55.78831684
9.2874217,-0.000340752,922.521,20.430693,0.0267465,37.3880694
9.3141682,-0.000340752,887.745,16.4529714,0.0449701,22.23699748
9.3591383,-0.000518538,898.6746,18.4418322,0.0453634,22.04420303
9.4045017,-0.000340752,920.5338,18.4418322,0.0206149,48.50860303
9.4251166,-0.000162966,890.7258,20.430693,0.0267265,37.41604772
9.4518431,-0.000162966,896.6874,18.4418322,0.0426998,23.41931345
9.4945429,1.48E-05,923.5146,20.430693,0.0448466,22.29823444
9.5393895,-0.000162966,890.7258,20.430693,0.0206736,48.37086907
9.5600631,-0.000162966,892.713,20.430693,0.0256604,38.97055387
9.5857235,1.48E-05,924.5082,18.4418322,0.0434096,23.03637906
9.6291331,-0.000162966,895.6938,16.4529714,0.0450894,22.1781616
9.6742225,-0.000162966,889.7322,20.430693,0.0178682,55.96534636
9.6920907,-0.000162966,919.5402,20.430693,0.027484,36.38480568
9.7195747,-0.000162966,902.649,18.4418322,0.0447069,22.36791188
9.7642816,-0.000162966,889.7322,20.430693,0.045369,22.04148207
9.8096506,-0.000162966,917.553,22.4195538,0.0198962,50.26085387
9.8295468,1.48E-05,907.617,18.4418322,0.0263363,37.97040585
9.8558831,-0.000518538,885.7578,20.430693,0.0434975,22.98982703
9.8993806,-0.000340752,912.585,22.4195538,0.0452021,22.12286597
9.9445827,1.48E-05,912.585,18.4418322,0.0183161,54.59677551
9.9628988,1.48E-05,881.7834,16.4529714,0.0262575,38.08435686
9.9891563,-0.000340752,913.5786,20.430693,0.0450862,22.17973571
10.0342425,-0.000162966,915.5658,18.4418322,0.0451772,22.13505928
10.0794197,1.48E-05,882.777,22.4195538,0.0168669,59.28771727
10.0962866,1.48E-05,910.5978,20.430693,0.0278378,35.92237895
10.1241244,-0.000162966,921.5274,16.4529714,0.0450823,22.18165443
