Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
15345000,-0.000518538,480.369,-102.8786766,33000
15378000,-0.000340752,483.3498,-102.8786766,34000
15412000,-0.000162966,481.3626,-102.8786766,33000
15445000,-0.000340752,481.3626,-98.900955,34000
15479000,-0.000162966,482.3562,-102.8786766,33000
15512000,-0.000162966,482.3562,-100.8898158,34000
15546000,-0.000340752,481.3626,-98.900955,33000
15579000,-0.00087411,484.3434,-100.8898158,34000
15613000,-0.000518538,483.3498,-100.8898158,34000
15647000,-0.000518538,480.369,-100.8898158,33000
15680000,-0.000340752,482.3562,-100.8898158,34000
15714000,-0.000162966,482.3562,-100.8898158,33000
15747000,1.48E-05,480.369,-102.8786766,34000
15781000,-0.000340752,482.3562,-100.8898158,36000
15817000,-0.000340752,484.3434,-86.9677902,37000
15854000,-0.000162966,484.3434,-86.9677902,34000
15888000,-0.000518538,481.3626,-84.9789294,34000
15922000,-0.000340752,482.3562,-86.9677902,33000
15955000,-0.000340752,484.3434,-88.956651,34000
15989000,-0.000340752,482.3562,-86.9677902,33000
16022000,-0.000340752,482.3562,-86.9677902,34000
16056000,-0.000162966,484.3434,-88.956651,33000
16089000,-0.000162966,482.3562,-86.9677902,34000
16123000,-0.000340752,482.3562,-84.9789294,33000
16156000,-0.000518538,485.337,-84.9789294,34000
16190000,-0.000340752,482.3562,-88.956651,33000
16223000,-0.000340752,483.3498,-84.9789294,34000
16257000,-0.000340752,485.337,-84.9789294,33000
16290000,-0.000340752,484.3434,-84.9789294,34000
16324000,-0.000162966,481.3626,-86.9677902,33000
16357000,-0.000518538,485.337,-86.9677902,37000
16394000,-0.000518538,484.3434,-71.0569038,37000
16431000,-0.000518538,484.3434,-71.0569038,34000
16465000,-0.000518538,483.3498,-71.0569038,33000
16498000,-0.000518538,484.3434,-71.0569038,34000
16532000,-0.000340752,484.3434,-71.0569038,34000
16566000,-0.000518538,483.3498,-71.0569038,33000
16599000,-0.000162966,485.337,-71.0569038,34000
16633000,-0.000162966,484.3434,-73.0457646,33000
16666000,-0.000340752,482.3562,-71.0569038,34000
16700000,-0.000340752,483.3498,-75.0346254,33000
16733000,-0.000340752,485.337,-71.0569038,34000
16767000,-0.000340752,482.3562,-71.0569038,33000
16800000,-0.000340752,484.3434,-73.0457646,34000
16834000,-0.000518538,485.337,-71.0569038,33000
16867000,-0.000162966,482.3562,-71.0569038,34000
16901000,-0.000340752,485.337,-71.0569038,33000
16934000,-0.000162966,485.337,-71.0569038,37000
