Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
23207,-0.000696324,950.3418,22.4195538,50
23257,-0.000696324,948.3546,22.4195538,50
23307,-0.00087411,948.3546,22.4195538,50
23357,-0.000518538,946.3674,22.4195538,50
23407,-0.000696324,946.3674,24.4084146,50
23457,-0.001051896,951.3354,22.4195538,50
23507,-0.000696324,948.3546,22.4195538,50
23557,-0.00087411,947.361,22.4195538,50
23607,-0.00087411,945.3738,20.430693,50
23657,-0.000696324,950.3418,20.430693,50
23707,-0.000518538,947.361,22.4195538,50
23757,-0.00087411,949.3482,20.430693,50
23807,-0.000696324,948.3546,22.4195538,50
23857,-0.000696324,950.3418,22.4195538,50
23907,-0.00087411,947.361,22.4195538,50
23957,-0.00087411,949.3482,22.4195538,50
24007,-0.001051896,949.3482,24.4084146,50
24057,-0.000696324,949.3482,22.4195538,50
24107,-0.00087411,948.3546,20.430693,50
24157,-0.000696324,950.3418,22.4195538,51
24208,-0.000696324,952.329,20.430693,50
24258,-0.000696324,950.3418,22.4195538,50
24308,-0.000696324,950.3418,22.4195538,50
24358,-0.00087411,951.3354,22.4195538,50
24408,-0.00087411,949.3482,22.4195538,50
24458,-0.000696324,949.3482,22.4195538,50
24508,-0.000696324,949.3482,22.4195538,50
24558,-0.000696324,949.3482,20.430693,50
24608,-0.00087411,947.361,22.4195538,50
24658,-0.00087411,950.3418,22.4195538,50
24708,-0.000518538,952.329,22.4195538,50
24758,-0.00087411,949.3482,22.4195538,50
24808,-0.000696324,949.3482,24.4084146,50
24858,-0.00087411,947.361,20.430693,50
24908,-0.00087411,949.3482,22.4195538,50
24958,-0.00087411,948.3546,22.4195538,50
25008,-0.000696324,950.3418,22.4195538,50
25058,-0.00087411,949.3482,20.430693,50
25108,-0.000696324,950.3418,22.4195538,50
25158,-0.00087411,949.3482,20.430693,50
25208,-0.000696324,951.3354,22.4195538,50
25258,-0.00087411,951.3354,22.4195538,50
25308,-0.000696324,948.3546,24.4084146,50
